Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Sunny,35,Billings Logan International Airport,St. Cloud Regional Airport,576,308,Avelo Airlines
Cloudy,35,Eastern Iowa Airport,Range Regional Airport (was Chisholm - Hibbing Airport),576,241,Elite Airways
Snow Fall,1,Long Beach Airport (Daugherty Field),Wilkes-Barre/Scranton International Airport,928,258,Air Wisconsin
Cloudy,30,Stillwater Regional Airport,Frederick Douglass/Greater Rochester International Airport,351,114,Piedmont Airlines
Snow Fall,2,Eugene F. Kranz Toledo Express Airport,Kansas City International Airport (was Mid-Continent International),719,280,Frontier Airlines
Rainy,25,Tyler Pounds Regional Airport,Waynesville-St. Robert Regional Airport (Forney Field),698,361,Air Wisconsin
Sunny,37,Golden Triangle Regional Airport,Saipan International Airport (Francisco C. Ada),560,382,Mesa Airlines
Snow Fall,-3,Coastal Carolina Regional Airport (was Craven County Regional),Durango - La Plata County Airport,517,326,Eastern Airlines
Sunny,36,Tucson International Airport,Wilmington Airport,791,248,Silver Airways
Cloudy,35,Lihue Airport,Rhinelander - Oneida County Airport,691,224,Hawaiian Airlines
Sunny,35,Charles M. Schulz - Sonoma County Airport,Long Beach Airport (Daugherty Field),766,278,Breeze Airways
Sunny,37,Kenai Municipal Airport,Laredo International Airport,312,143,JetBlue
Snow Fall,1,Kearney Regional Airport (was Kearney Municipal),Tampa International Airport,462,154,Delta Air Lines
Sunny,36,Plattsburgh International Airport,Midland International Air and Space Port,886,356,Frontier Airlines
Windy,18,Paine Field (Snohomish County Airport),California Redwood Coast - Humboldt County Airport,706,260,Republic Airways
Snow Fall,-8,Westerly State Airport,Myrtle Beach International Airport,355,169,SkyWest Airlines
Windy,18,Lihue Airport,Stockton Metropolitan Airport,456,161,JetBlue
Rainy,27,Greenville - Spartanburg International Airport (Roger Milliken Field),Jack Brooks Regional Airport (was Southeast Texas Regional),713,264,United Airlines
Windy,15,Blue Grass Airport,Texarkana Regional Airport (Webb Field),719,265,Horizon Air
Rainy,30,Ford Airport,Owensboro - Daviess County Regional Airport,464,135,JetBlue
Snow Fall,2,Quad City International Airport,Sioux Gateway Airport (Brig. General Bud Day Field),350,178,Allegiant Air
Sunny,35,Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),Antonio Rivera Rodríguez Airport,459,116,Frontier Airlines
Cloudy,30,Bangor International Airport,Great Falls International Airport,331,164,PSA Airlines
Windy,24,Waynesville-St. Robert Regional Airport (Forney Field),East Texas Regional Airport,649,390,Endeavor Air
Snow Fall,-3,San Luis Valley Regional Airport (Bergman Field),Bismarck Municipal Airport,1000,210,Delta Air Lines
Snow Fall,1,Fairbanks International Airport,Barkley Regional Airport,566,354,Contour Airlines
Snow Fall,2,Jack Brooks Regional Airport (was Southeast Texas Regional),Reno/Tahoe International Airport,771,359,American Airlines
Windy,20,Nome Airport,Manchester - Boston Regional Airport,630,236,Silver Airways
Windy,25,Orlando International Airport,Huntsville International Airport (Carl T. Jones Field),919,237,Piedmont Airlines
Rainy,30,Juneau International Airport,Springfield - Branson National Airport,800,229,Silver Airways
Sunny,36,Ontario International Airport,Nashville International Airport (Berry Field),546,289,United Airlines
Snow Fall,-7,Long Island MacArthur Airport,Erie International Airport (Tom Ridge Field),563,279,Cape Air
Snow Fall,-5,Brainerd Lakes Regional Airport,Midland International Air and Space Port,769,227,SkyWest Airlines
Cloudy,35,Albuquerque International Sunport,Lafayette Regional Airport (Paul Fournet Field),988,202,Delta Air Lines
Snow Fall,-4,Harry Reid International Airport,San Diego International Airport (Lindbergh Field),927,244,JetBlue
Cloudy,35,Williston Basin International Airport,Westchester County Airport,823,274,Breeze Airways
Sunny,36,Florence Regional Airport,Montrose Regional Airport,989,225,PSA Airlines
Cloudy,31,Newport News/Williamsburg International Airport (Patrick Henry Field),Montrose Regional Airport,993,267,Alaska Airlines
Windy,20,Bishop International Airport,Luis Muñoz Marín International Airport,383,113,Piedmont Airlines
Rainy,27,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Southwest Oregon Regional Airport (was North Bend Municipal),482,140,Southwest Airlines
Snow Fall,-3,Sheridan County Airport,Kearney Regional Airport (was Kearney Municipal),412,107,Breeze Airways
Snow Fall,-1,Tri-Cities Airport,Veterans Airport of Southern Illinois (Williamson County Regional Airport),406,199,Avelo Airlines
Rainy,26,Martha's Vineyard Airport,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),715,382,Alaska Airlines
Rainy,25,Lovell Field,Tinian International Airport (West Tinian),444,161,Envoy Air
Rainy,28,Yellowstone Regional Airport,Niagara Falls International Airport,701,245,Cape Air
Snow Fall,-8,Lake Charles Regional Airport,Appleton International Airport,680,311,Elite Airways
Rainy,30,Charlottesville - Albemarle Airport,Melbourne Orlando International Airport,946,295,Piedmont Airlines
Sunny,35,Yampa Valley Airport (Yampa Valley Regional),Milwaukee Mitchell International Airport,951,382,Elite Airways
Cloudy,34,Dubuque Regional Airport,Bemidji Regional Airport,519,276,Air Wisconsin
Rainy,28,Salisbury - Ocean City - Wicomico Regional Airport,MidAmerica St. Louis Airport / Scott Air Force Base,531,245,Spirit Airlines
Rainy,29,Monterey Regional Airport (was Monterey Peninsula Airport),Roswell Air Center,919,223,GoJet Airlines
Snow Fall,1,Idaho Falls Regional Airport (Fanning Field),Greater Binghamton Airport (Edwin A. Link Field),916,230,JetBlue
Cloudy,30,Texarkana Regional Airport (Webb Field),Presque Isle International Airport,735,236,Cape Air
Rainy,25,Valdosta Regional Airport,Kalamazoo/Battle Creek International Airport,451,187,Piedmont Airlines
Snow Fall,-6,Dallas Love Field,Magic Valley Regional Airport (Joslin Field),766,304,JetBlue
Sunny,35,Lynchburg Regional Airport (Preston Glenn Field),New York Stewart International Airport,981,272,Contour Airlines
Snow Fall,-8,Charlotte Douglas International Airport,Boulder City Municipal Airport,308,111,Cape Air
Snow Fall,3,Shenandoah Valley Regional Airport,Gillette - Campbell County Airport,781,238,Elite Airways
Rainy,28,Veterans Airport of Southern Illinois (Williamson County Regional Airport),Yellowstone Regional Airport,353,200,Horizon Air
Cloudy,30,Phoenix - Mesa Gateway Airport (formerly Williams AFB),Elko Regional Airport (J.C. Harris Field),315,104,Cape Air
Cloudy,31,Chicago Midway International Airport,Ronald Reagan Washington National Airport,856,391,Breeze Airways
Cloudy,30,Concord-Padgett Regional Airport,Kodiak Airport (Benny Benson State Airport),786,264,Alaska Airlines
Cloudy,30,San Francisco International Airport,Barkley Regional Airport,478,156,GoJet Airlines
Snow Fall,-1,Minneapolis - St. Paul International/Wold-Chamberlain Airport,Middle Georgia Regional Airport,438,197,Republic Airways
Sunny,39,Friedman Memorial Airport,Daniel K. Inouye International Airport,515,385,Alaska Airlines
Cloudy,35,Yellowstone Regional Airport,Brunswick Golden Isles Airport,805,347,Eastern Airlines
Windy,17,James M. Cox Dayton International Airport,Savannah/Hilton Head International Airport,980,245,Breeze Airways
Snow Fall,-5,Veterans Airport of Southern Illinois (Williamson County Regional Airport),Waterloo Regional Airport,462,108,Sun Country Airlines
Snow Fall,0,San Luis Obispo County Regional Airport (McChesney Field),Daniel K. Inouye International Airport,442,117,Delta Air Lines
Snow Fall,0,Newark Liberty International Airport,Southwest Florida International Airport,337,165,Elite Airways
Rainy,27,Cleveland Hopkins International Airport,Cherry Capital Airport (was Cherry County Airpark),733,268,Alaska Airlines
Sunny,38,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Tinian International Airport (West Tinian),882,317,Alaska Airlines
Windy,15,Merrill Field,Portsmouth International Airport at Pease,473,165,Delta Air Lines
Sunny,35,Roanoke - Blacksburg Regional Airport (Woodrum Field),Concord-Padgett Regional Airport,927,203,GoJet Airlines
Cloudy,35,Manchester - Boston Regional Airport,Sacramento International Airport,888,353,Allegiant Air
Snow Fall,-9,José Aponte de la Torre Airport,Gulfport - Biloxi International Airport,704,240,United Airlines
Sunny,37,Canyonlands Regional Airport,Tri-Cities Airport,533,397,Avelo Airlines
Snow Fall,-8,California Redwood Coast - Humboldt County Airport,Central Wisconsin Airport,381,191,Cape Air
Snow Fall,-5,Merrill Field,Pensacola International Airport,871,336,Republic Airways
Snow Fall,2,Pensacola International Airport,Columbia Metropolitan Airport,481,122,Delta Air Lines
Snow Fall,-4,Pitt - Greenville Airport,Long Island MacArthur Airport,977,264,JetBlue
Windy,25,Akron-Canton Regional Airport,MBS International Airport,910,290,Silver Airways
Sunny,36,Grand Forks International Airport,Roswell Air Center,580,219,United Airlines
Windy,25,Wiley Post - Will Rogers Memorial Airport,Yeager Airport,946,392,Frontier Airlines
Windy,20,Baltimore/Washington International Airport,Eagle County Regional Airport,301,123,Envoy Air
Windy,15,Spokane International Airport (Geiger Field),Wichita Falls Municipal Airport / Sheppard Air Force Base,540,338,SkyWest Airlines
Sunny,37,Cyril E. King Airport,St. George Regional Airport,300,178,Avelo Airlines
Rainy,26,Joplin Regional Airport,Eagle County Regional Airport,411,198,Delta Air Lines
Snow Fall,-4,Wilmington Airport,Harry Reid International Airport,418,157,Horizon Air
Snow Fall,-2,Homer Airport,Dallas Love Field,688,277,Horizon Air
Sunny,38,Spokane International Airport (Geiger Field),Roanoke - Blacksburg Regional Airport (Woodrum Field),966,381,Southwest Airlines
Snow Fall,-1,Wilmington Airport,Lewiston - Nez Perce County Airport,700,285,Avelo Airlines
Rainy,28,Shenandoah Valley Regional Airport,Barkley Regional Airport,749,330,Contour Airlines
Cloudy,33,Walla Walla Regional Airport,Pitt - Greenville Airport,393,155,Eastern Airlines
Snow Fall,1,Sheridan County Airport,Eugene F. Kranz Toledo Express Airport,989,236,Air Wisconsin
Sunny,37,Presque Isle International Airport,Boise Airport (Boise Air Terminal) (Gowen Field),864,249,SkyWest Airlines
Windy,24,Paine Field (Snohomish County Airport),Henry E. Rohlsen Airport,461,175,Contour Airlines
Rainy,27,LaGuardia Airport (and Marine Air Terminal),Tucson International Airport,405,195,Cape Air
Rainy,26,Evansville Regional Airport,Lake Charles Regional Airport,477,154,Breeze Airways
Snow Fall,-2,Memphis International Airport,Central Wyoming Regional Airport (was Riverton Regional),393,130,CommutAir
Sunny,37,Atlantic City International Airport,Wiley Post - Will Rogers Memorial Airport,304,103,Breeze Airways
Cloudy,34,Norfolk International Airport,Grand Forks International Airport,538,387,Breeze Airways
Windy,21,Ronald Reagan Washington National Airport,Petersburg James A. Johnson Airport,995,243,Endeavor Air
Windy,16,Charles M. Schulz - Sonoma County Airport,Gustavus Airport,788,334,PSA Airlines
Sunny,39,Santa Maria Public Airport (Capt G. Allan Hancock Field),Augusta Regional Airport (Bush Field),707,254,Horizon Air
Cloudy,35,Gillette - Campbell County Airport,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),851,386,SkyWest Airlines
Sunny,39,Laramie Regional Airport,Baton Rouge Metropolitan Airport (Ryan Field),967,309,Frontier Airlines
Sunny,39,Salina Regional Airport,Syracuse Hancock International Airport,942,235,Eastern Airlines
Snow Fall,1,Ted Stevens Anchorage International Airport,Roanoke - Blacksburg Regional Airport (Woodrum Field),783,208,JetBlue
Cloudy,35,Gulfport - Biloxi International Airport,Charlotte Douglas International Airport,812,362,Republic Airways
Cloudy,31,South Bend International Airport,Long Beach Airport (Daugherty Field),679,296,United Airlines
Sunny,35,Houghton County Memorial Airport,Harrisburg International Airport,658,282,Hawaiian Airlines
Snow Fall,-9,Westerly State Airport,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),380,128,American Airlines
Windy,22,Palm Springs International Airport,Springfield - Branson National Airport,610,319,United Airlines
Sunny,37,Birmingham - Shuttlesworth International Airport,Helena Regional Airport,987,347,Elite Airways
Sunny,38,Fort Smith Regional Airport,Pensacola International Airport,815,322,Republic Airways
Snow Fall,-3,Ted Stevens Anchorage International Airport,Walla Walla Regional Airport,753,385,PSA Airlines
Cloudy,30,Daytona Beach International Airport,Williston Basin International Airport,719,377,Frontier Airlines
Rainy,30,MBS International Airport,Saipan International Airport (Francisco C. Ada),544,320,Elite Airways
Snow Fall,-8,José Aponte de la Torre Airport,Salina Regional Airport,356,157,Elite Airways
Windy,16,Brainerd Lakes Regional Airport,Provo Municipal Airport,764,248,Silver Airways
Windy,16,Central Wyoming Regional Airport (was Riverton Regional),Central Illinois Regional Airport at Bloomington-Normal,808,371,Frontier Airlines
Sunny,35,Gulfport - Biloxi International Airport,Fairbanks International Airport,424,199,Alaska Airlines
Windy,15,Columbus Airport,Eugene F. Kranz Toledo Express Airport,745,273,Southwest Airlines
Rainy,29,Atlantic City International Airport,East Texas Regional Airport,407,198,Piedmont Airlines
Sunny,36,King County International Airport (Boeing Field),Nashville International Airport (Berry Field),347,188,JetBlue
Windy,20,Daytona Beach International Airport,Palm Beach International Airport,753,246,Avelo Airlines
Sunny,36,Valdosta Regional Airport,Atlantic City International Airport,414,165,Horizon Air
Snow Fall,-2,San Luis Obispo County Regional Airport (McChesney Field),Southwest Wyoming Regional Airport (Rock Springs - Sweetwater County Airport),994,395,American Airlines
Windy,24,Erie International Airport (Tom Ridge Field),Jackson - Medgar Wiley Evers International Airport,884,264,United Airlines
Rainy,28,Durango - La Plata County Airport,Bangor International Airport,614,400,GoJet Airlines
Cloudy,35,Friday Harbor Airport,Wilmington Airport,476,190,PSA Airlines
Snow Fall,0,Golden Triangle Regional Airport,Dallas Love Field,341,166,Envoy Air
Snow Fall,-4,Bismarck Municipal Airport,Hector International Airport,507,341,Endeavor Air
Rainy,26,Albert J. Ellis Airport,North Central West Virginia Airport (was Harrison-Marion Regional),861,271,American Airlines
Windy,25,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),Sioux Gateway Airport (Brig. General Bud Day Field),642,306,Piedmont Airlines
Snow Fall,0,Palm Springs International Airport,Nantucket Memorial Airport,326,170,SkyWest Airlines
Rainy,30,Florence Regional Airport,Long Beach Airport (Daugherty Field),522,333,Endeavor Air
Sunny,36,Laramie Regional Airport,San Antonio International Airport,377,155,Frontier Airlines
Sunny,36,Will Rogers World Airport,Ogdensburg International Airport,990,356,SkyWest Airlines
Snow Fall,-4,Dallas Fort Worth International Airport,Abilene Regional Airport,322,145,Endeavor Air
Snow Fall,-1,Waterloo Regional Airport,Rhode Island T. F. Green International Airport,544,208,Mesa Airlines
Rainy,26,Tri-Cities Airport,Abilene Regional Airport,411,142,Elite Airways
Snow Fall,-9,Muskegon County Airport,Shenandoah Valley Regional Airport,427,193,Southwest Airlines
Rainy,29,Rafael Hernández Airport,Fresno Yosemite International Airport,967,267,Hawaiian Airlines
Sunny,36,Lincoln Airport (was Lincoln Municipal),Owensboro - Daviess County Regional Airport,610,275,American Airlines
Snow Fall,-2,Dallas Love Field,Salina Regional Airport,435,163,Hawaiian Airlines
Sunny,37,Hilton Head Airport,Central Wyoming Regional Airport (was Riverton Regional),724,376,Hawaiian Airlines
Cloudy,33,Dubuque Regional Airport,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,787,261,Elite Airways
Rainy,30,Columbus Airport,Grand Junction Regional Airport (Walker Field),943,316,JetBlue
Windy,25,Memphis International Airport,Page Municipal Airport,499,160,CommutAir
Snow Fall,-1,Phoenix Sky Harbor International Airport,McGhee Tyson Airport,922,388,Cape Air
Snow Fall,-6,Watertown International Airport,Washington Dulles International Airport,470,111,Sun Country Airlines
Rainy,29,Yellowstone Regional Airport,Williston Basin International Airport,658,327,Alaska Airlines
Sunny,36,Cedar City Regional Airport,Burlington International Airport,800,259,Envoy Air
Snow Fall,-7,Piedmont Triad International Airport,MidAmerica St. Louis Airport / Scott Air Force Base,630,263,Mesa Airlines
Rainy,29,Chippewa County International Airport,Lake Charles Regional Airport,960,314,Endeavor Air
Cloudy,34,Valdosta Regional Airport,Seattle - Tacoma International Airport,645,366,Silver Airways
Snow Fall,3,Palm Beach International Airport,Block Island State Airport,589,266,SkyWest Airlines
Windy,22,Lovell Field,Plattsburgh International Airport,996,270,Cape Air
Windy,24,Mercedita Airport,Rickenbacker International Airport,765,321,Southwest Airlines
Rainy,27,Prescott Municipal Airport (Ernest A. Love Field),Nantucket Memorial Airport,863,232,Sun Country Airlines
Sunny,37,Houghton County Memorial Airport,MBS International Airport,418,195,Breeze Airways
Snow Fall,-8,Rochester International Airport,Sitka Rocky Gutierrez Airport,369,144,GoJet Airlines
Rainy,28,Watertown International Airport,Tri-State Airport (Milton J. Ferguson Field),515,217,Endeavor Air
Cloudy,34,Bismarck Municipal Airport,King County International Airport (Boeing Field),695,350,CommutAir
Cloudy,31,Pangborn Memorial Airport,Frederick Douglass/Greater Rochester International Airport,513,264,PSA Airlines
Sunny,35,Delta County Airport,El Paso International Airport,578,393,Hawaiian Airlines
Cloudy,33,San Diego International Airport (Lindbergh Field),Manchester - Boston Regional Airport,450,150,Avelo Airlines
Snow Fall,2,Joplin Regional Airport,Roswell Air Center,568,312,Delta Air Lines
Cloudy,35,Will Rogers World Airport,Tweed-New Haven Airport,488,197,Sun Country Airlines
Cloudy,34,Fort Wayne International Airport,Ronald Reagan Washington National Airport,459,192,Endeavor Air
Windy,19,California Redwood Coast - Humboldt County Airport,Veterans Airport of Southern Illinois (Williamson County Regional Airport),747,344,Avelo Airlines
Sunny,37,Monroe Regional Airport,Springfield - Branson National Airport,983,350,Contour Airlines
Windy,21,Abilene Regional Airport,Louisville International Airport (Standiford Field),751,231,PSA Airlines
Windy,16,LaGuardia Airport (and Marine Air Terminal),Lubbock Preston Smith International Airport,906,272,JetBlue
Cloudy,30,Casper - Natrona County International Airport,John F. Kennedy International Airport (was New York International Airport),453,160,Republic Airways
Cloudy,35,Orlando International Airport,Charleston International Airport / Charleston AFB,950,399,Endeavor Air
Cloudy,30,Aberdeen Regional Airport,Indianapolis International Airport,712,349,Mesa Airlines
Rainy,27,Huntsville International Airport (Carl T. Jones Field),Valley International Airport,637,327,Hawaiian Airlines
Snow Fall,-7,Shreveport Regional Airport,Walla Walla Regional Airport,705,203,CommutAir
Cloudy,30,John Glenn Columbus International Airport,Paine Field (Snohomish County Airport),802,323,Horizon Air
Rainy,28,Florence Regional Airport,Friedman Memorial Airport,998,218,Air Wisconsin
Cloudy,35,Provo Municipal Airport,Dallas Fort Worth International Airport,682,212,Mesa Airlines
Snow Fall,-1,Abraham Lincoln Capital Airport,Rick Husband Amarillo International Airport,342,142,American Airlines
Sunny,38,Kansas City International Airport (was Mid-Continent International),Philadelphia International Airport,446,106,Allegiant Air
Windy,25,Destin - Fort Walton Beach Airport / Eglin Air Force Base,Gulfport - Biloxi International Airport,823,378,CommutAir
Windy,20,Harrisburg International Airport,Homer Airport,319,191,Republic Airways
Windy,21,Tallahassee International Airport,Benjamín Rivera Noriega Airport,407,106,Mesa Airlines
Rainy,29,St. Louis Lambert International Airport,Houghton County Memorial Airport,646,369,Allegiant Air
Windy,20,Wrangell Airport (also see Wrangell Seaplane Base),Sioux Gateway Airport (Brig. General Bud Day Field),900,354,Envoy Air
Cloudy,32,San Francisco International Airport,John F. Kennedy International Airport (was New York International Airport),860,203,Endeavor Air
Windy,19,Yampa Valley Airport (Yampa Valley Regional),Kahului Airport,582,283,Envoy Air
Windy,24,Cedar City Regional Airport,Tulsa International Airport,461,173,Air Wisconsin
Sunny,38,Texarkana Regional Airport (Webb Field),Pierre Regional Airport,418,163,Endeavor Air
Windy,24,Melbourne Orlando International Airport,Laredo International Airport,716,323,Hawaiian Airlines
Cloudy,34,Rapid City Regional Airport,Des Moines International Airport,787,375,Silver Airways
Cloudy,34,Rapid City Regional Airport,Punta Gorda Airport,436,150,Elite Airways
Snow Fall,-1,Bismarck Municipal Airport,Northwest Florida Beaches International Airport,780,278,Piedmont Airlines
Sunny,35,Ogdensburg International Airport,Ogden-Hinckley Airport,430,196,Delta Air Lines
Cloudy,32,Syracuse Hancock International Airport,Jackson Hole Airport,323,116,Elite Airways
Cloudy,35,Valdosta Regional Airport,Rochester International Airport,868,358,Allegiant Air
Rainy,28,Charlotte Douglas International Airport,Gen. Edward Lawrence Logan International Airport,394,193,Silver Airways
Rainy,30,Kenai Municipal Airport,Great Falls International Airport,364,135,CommutAir
Cloudy,35,Deadhorse Airport (Prudhoe Bay Airport),Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),336,116,Horizon Air
Sunny,39,Gen. Edward Lawrence Logan International Airport,Rafael Hernández Airport,497,117,Hawaiian Airlines
Snow Fall,-2,Albuquerque International Sunport,Bismarck Municipal Airport,564,261,GoJet Airlines
Sunny,37,Monterey Regional Airport (was Monterey Peninsula Airport),Boise Airport (Boise Air Terminal) (Gowen Field),533,248,Hawaiian Airlines
Rainy,27,San Diego International Airport (Lindbergh Field),Billings Logan International Airport,882,355,Air Wisconsin
Snow Fall,-6,Rafael Hernández Airport,Bradley International Airport,327,101,Piedmont Airlines
Cloudy,33,Daniel K. Inouye International Airport,Pullman - Moscow Regional Airport,972,400,Air Wisconsin
Rainy,27,Frederick Douglass/Greater Rochester International Airport,Laramie Regional Airport,719,212,Alaska Airlines
Sunny,35,Shenandoah Valley Regional Airport,Atlantic City International Airport,970,248,Avelo Airlines
Rainy,30,Columbia Metropolitan Airport,Louisville International Airport (Standiford Field),463,191,Silver Airways
Windy,20,James M. Cox Dayton International Airport,Friedman Memorial Airport,309,132,Mesa Airlines
Sunny,39,Meadows Field,Brunswick Golden Isles Airport,735,279,Piedmont Airlines
Snow Fall,-4,Norman Y. Mineta San José International Airport,Wrangell Airport (also see Wrangell Seaplane Base),661,399,Alaska Airlines
Rainy,28,Gainesville Regional Airport,Yakutat Airport (also see Yakutat Seaplane Base),495,159,Horizon Air
Cloudy,30,Lake Charles Regional Airport,Reno/Tahoe International Airport,781,273,Sun Country Airlines
Cloudy,33,Walla Walla Regional Airport,Sheridan County Airport,512,227,Breeze Airways
Windy,21,Yampa Valley Airport (Yampa Valley Regional),Southwest Florida International Airport,381,177,Elite Airways
Rainy,30,Valdosta Regional Airport,Ronald Reagan Washington National Airport,724,363,Air Wisconsin
Windy,18,Orlando International Airport,Lewiston - Nez Perce County Airport,544,208,Elite Airways
Windy,16,Garden City Regional Airport,Shreveport Regional Airport,354,153,Air Wisconsin
Windy,23,Augusta Regional Airport (Bush Field),Del Rio International Airport,536,227,Hawaiian Airlines
Snow Fall,2,Pullman - Moscow Regional Airport,Eagle County Regional Airport,667,257,CommutAir
Windy,24,Waco Regional Airport,San Francisco International Airport,362,169,Sun Country Airlines
Cloudy,33,Canyonlands Regional Airport,Sawyer International Airport,380,156,Elite Airways
Sunny,35,Jacksonville International Airport,Sioux Gateway Airport (Brig. General Bud Day Field),971,356,Southwest Airlines
Rainy,29,Palm Beach International Airport,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,618,385,Silver Airways
Windy,20,Charles M. Schulz - Sonoma County Airport,Huntsville International Airport (Carl T. Jones Field),903,388,American Airlines
Sunny,37,Lake Charles Regional Airport,Arnold Palmer Regional Airport,329,193,Envoy Air
Cloudy,35,Atlantic City International Airport,Dallas Love Field,629,362,United Airlines
Snow Fall,-6,Salina Regional Airport,Yellowstone Regional Airport,480,199,Silver Airways
Cloudy,35,Lafayette Regional Airport (Paul Fournet Field),Yakima Air Terminal (McAllister Field),396,107,Envoy Air
Windy,19,Page Municipal Airport,Aberdeen Regional Airport,685,358,Spirit Airlines
Cloudy,32,City of Colorado Springs Municipal Airport,Jacksonville International Airport,553,277,Horizon Air
Cloudy,32,Portland International Jetport,Springfield - Branson National Airport,707,381,Piedmont Airlines
Windy,24,Central Wisconsin Airport,Stillwater Regional Airport,656,240,Envoy Air
Windy,16,Gerald R. Ford International Airport,Central Wisconsin Airport,529,279,Envoy Air
Snow Fall,-3,Lubbock Preston Smith International Airport,Mercedita Airport,914,262,JetBlue
Snow Fall,2,Bradley International Airport,Duluth International Airport,474,185,Silver Airways
Rainy,25,Elko Regional Airport (J.C. Harris Field),Charlottesville - Albemarle Airport,489,180,Avelo Airlines
Sunny,38,Dallas Love Field,Austin - Bergstrom International Airport,445,130,Envoy Air
Cloudy,35,Des Moines International Airport,Memphis International Airport,848,364,Cape Air
Sunny,35,Savannah/Hilton Head International Airport,Yakutat Airport (also see Yakutat Seaplane Base),601,302,United Airlines
Windy,16,Rick Husband Amarillo International Airport,Ronald Reagan Washington National Airport,380,128,Mesa Airlines
Rainy,28,Luis Muñoz Marín International Airport,Wichita Falls Municipal Airport / Sheppard Air Force Base,805,307,United Airlines
Rainy,29,Jack Brooks Regional Airport (was Southeast Texas Regional),East Texas Regional Airport,590,258,Cape Air
Snow Fall,-2,Worcester Regional Airport,McAllen Miller International Airport,746,277,Envoy Air
Cloudy,34,Ithaca Tompkins International Airport,Raleigh - Durham International Airport,409,170,SkyWest Airlines
Cloudy,33,Dillingham Airport,Bellingham International Airport,339,123,Spirit Airlines
Cloudy,31,Wilmington International Airport,Piedmont Triad International Airport,370,109,Republic Airways
Sunny,39,Tulsa International Airport,Appleton International Airport,785,285,Envoy Air
Snow Fall,0,Dallas Fort Worth International Airport,Greenville - Spartanburg International Airport (Roger Milliken Field),875,388,Spirit Airlines
Rainy,27,Kenai Municipal Airport,Springfield - Branson National Airport,326,111,JetBlue
Windy,21,Dallas Fort Worth International Airport,Casper - Natrona County International Airport,689,201,Contour Airlines
Cloudy,31,Duluth International Airport,Evansville Regional Airport,670,380,Alaska Airlines
Snow Fall,3,Punta Gorda Airport,Kodiak Airport (Benny Benson State Airport),701,213,Envoy Air
Snow Fall,-2,Lafayette Regional Airport (Paul Fournet Field),MidAmerica St. Louis Airport / Scott Air Force Base,446,119,Mesa Airlines
Snow Fall,-9,Westchester County Airport,King County International Airport (Boeing Field),880,394,Republic Airways
Sunny,36,Chicago O'Hare International Airport,José Aponte de la Torre Airport,964,215,Allegiant Air
Cloudy,30,Jamestown Regional Airport,Spokane International Airport (Geiger Field),311,110,Allegiant Air
Rainy,30,Brownsville/South Padre Island International Airport,Fairbanks International Airport,444,125,Contour Airlines
Snow Fall,-3,Lawton - Fort Sill Regional Airport,Harry Reid International Airport,737,344,Horizon Air
Snow Fall,-3,Fort Wayne International Airport,Pierre Regional Airport,464,193,Alaska Airlines
Cloudy,32,Oakland International Airport,John Glenn Columbus International Airport,890,321,Horizon Air
Sunny,37,Houghton County Memorial Airport,MidAmerica St. Louis Airport / Scott Air Force Base,740,376,Envoy Air
Snow Fall,-9,Fresno Yosemite International Airport,Philadelphia International Airport,835,308,Alaska Airlines
Cloudy,32,Albany International Airport,Jacksonville International Airport,558,310,Horizon Air
Sunny,37,James M. Cox Dayton International Airport,Charles M. Schulz - Sonoma County Airport,918,399,United Airlines
Cloudy,30,Dickinson Theodore Roosevelt Regional Airport,Indianapolis International Airport,950,269,Allegiant Air
Snow Fall,2,Portsmouth International Airport at Pease,Tinian International Airport (West Tinian),669,333,CommutAir
Snow Fall,3,Page Municipal Airport,Pitt - Greenville Airport,808,328,Silver Airways
Sunny,37,Buffalo Niagara International Airport,Saipan International Airport (Francisco C. Ada),369,198,GoJet Airlines
Windy,24,Ford Airport,Lanai Airport,471,178,United Airlines
Sunny,37,Trenton Mercer Airport,Palm Beach International Airport,535,249,SkyWest Airlines
Snow Fall,-1,Shenandoah Valley Regional Airport,Monroe Regional Airport,531,346,Air Wisconsin
Sunny,37,San Francisco International Airport,Roswell Air Center,553,346,Silver Airways
Sunny,38,Montgomery Regional Airport (Dannelly Field),Destin - Fort Walton Beach Airport / Eglin Air Force Base,361,143,Breeze Airways
Snow Fall,-5,John Glenn Columbus International Airport,Yampa Valley Airport (Yampa Valley Regional),353,134,Spirit Airlines
Sunny,35,Eugene F. Kranz Toledo Express Airport,Burlington International Airport,576,364,Piedmont Airlines
Cloudy,34,Huntsville International Airport (Carl T. Jones Field),Tucson International Airport,361,193,Air Wisconsin
